question,answer,tag
How do I know which fund is right for me?,"When you decide to invest in Mutual Funds, you need to choose which type of fund and which Asset Management Company (AMC) to invest with.

For example: If you have a long-term goal like retirement planning and are comfortable with taking some risk, an Equity or Balanced Fund would be suitable.

To make these decisions, it's important to have an open discussion with a mutual fund distributor or investment advisor. Share your objectives, time frame, and risk appetite.

For example: If you have a short-term goal like saving money for a few months, a Liquid Fund would be appropriate.

Once you have determined the type of fund that aligns with your objectives, you need to select a specific scheme offered by an AMC. This choice is typically based on factors like the AMC's track record, suitability of the scheme, and portfolio details.

For example: If you want to generate regular income, you might consider a Monthly Income Plan or an Income Fund.

Before making any investment, it's essential to review the Scheme Factsheets and Key Information Memorandum. If you require more detailed information, you can refer to the Scheme Information Document. These documents are readily available on the websites of every Mutual Fund.

For example: By reviewing these documents, you can gain insights into the fund's performance, investment strategy, and associated risks.",which fund is right for me
ELSS Fund – Tax Saving Mutual Fund,"An Equity Linked Savings Scheme (ELSS) is a type of investment scheme that provides tax benefits to individuals or Hindu Undivided Families (HUFs). Under Section 80C of the Income Tax Act 1961, investors can deduct up to Rs. 1.5 lakhs from their total income.

Example: Let's say you earn Rs. 10 lakhs per year and you invest Rs. 50,000 in an ELSS. In this case, your taxable income would be reduced to Rs. 9.5 lakhs, resulting in a lower tax burden.

ELSS schemes have a lock-in period of three years from the date of unit allotment. Once the lock-in period is over, you have the freedom to redeem or switch your units. ELSS offers both growth and dividend options, allowing you to choose how you want to receive returns on your investment. Additionally, you can also invest in ELSS through Systematic Investment Plans (SIPs). Any investments made up to Rs. 1.5 lakhs in a financial year are eligible for tax deduction.",ELSS Fund
What is Net Asset value (NAV)?,"Net Asset Value (NAV) is a measure of the performance of a Mutual Fund scheme. It represents the market value of the securities that the scheme holds. Mutual Funds collect money from investors and invest it in securities. Since the market value of these securities changes daily, the NAV of a scheme also fluctuates accordingly. The NAV per unit is calculated by dividing the market value of securities by the total number of units of the scheme on a specific date.

Example: Imagine you invest in a Mutual Fund that holds various stocks and bonds. The NAV of the fund is like a snapshot of the total value of all those stocks and bonds. If the NAV per unit is $10, it means that for every unit you own, the securities held by the scheme are worth $10. If the NAV increases to $12 the next day, it indicates that the value of the securities held by the scheme has gone up. Similarly, if the NAV decreases to $8, it means the value of the securities has decreased. The NAV is declared at the end of the trading day when the markets are closed, as per the regulations set by the Securities and Exchange Board of India (SEBI) for Mutual Funds.",NAV
Mutual Funds vs Shares: What’s the difference?,"From where do you get the vegetables for dinner? Do you grow them in your backyard, or purchase it from the nearest mandi/supermarket depending on what you need? Growing your own veggies is a great way of eating healthy food, but effort is spent on seed selection, manuring, watering, pest control, etc. The latter option allows you to choose from a wide variety without the hard work.

Similarly, you can create wealth by investing directly in shares of good companies or invest in them through Mutual Funds. Wealth can be created when we buy company stocks which use our money to grow their business, creating value for us.

Direct investment in shares carries a relatively higher risk element. You need to pick stocks by researching the company and sector. It’s a humongous task to choose few companies from thousands of them listed on the stock exchange. Once done, you need to keep a track of every stock's performance.

In Mutual Funds, the stock picking is done by expert fund managers. You need to keep track of the performance of the fund and not individual stocks within the fund. They also allow investment flexibility unlike stocks, with growth/dividend options, top-ups, systematic withdrawals/transfer, etc. besides helping to ride over volatility by investing smaller amounts regularly through SIPs.",Mutual Funds vs Shares
How to deal with rumours while investing?,"How often have you come across people you know who have lost money in the stock market because they couldn’t guess where the market would go next moment or who made money because they knew where the market was headed next? Even the best market analysts can’t predict with absolute precision how the market will move the very next moment because financial markets are driven by sentiments and market sentiments are driven by market news. 

An investor today has easy access to market news that may be factually correct or could be a rumour or mere speculation. While investment decisions based on factually correct news may yield positive results, investment decisions based on rumours or speculations can cause loss to investors. 

According to Behavioural Finance Theory, investors are irrational by nature i.e their investment behaviour is not backed by thorough research and analysis but rather influenced by various cognitive and emotional biases including herd mentality. Hence, any incorrect market information can fuel panic amongst investors leading to huge erosion of investor wealth.

Then how can an investor hold himself steady when the market is flooded with all kinds of news ranging from verified ones to rumours? This is where Mutual Fund investments can come to the rescue of millions of small investors who lack the capability and resources to carry out extensive research and analysis. Investing in mutual funds helps circumvent all the above problems as professional fund managers take care of the investment decisions on your behalf. Also, mutual fund investments held over a long period of time help you tide over short-term fluctuations caused by market volatility that is many times fueled by market rumours.

Fund managers have a team of research analysts who carry out extensive research based on all public information to evaluate each security before taking a decision to buy, hold or sell it.  You can always reach out to your SEBI registered financial advisor or mutual fund distributor for guidance in case you come across some market news regarding any security in the fund’s portfolio or about the fund that sounds worrisome.",paln everyday gole
A plan for every goal,"Yes, Mutual Funds are ideal to help you plan your life goals!

·   Mr. Rajput eventually wants to move away from the city, into a farmhouse on a hill station when he plans to retire after 15-20 years.

·   Mrs. Patel didn’t receive any retirement benefits. Although she has savings, she now needs a regular income from her investments to meet her regular expenses.

·   Mrs. Sharma has surplus money generated from her business and lets it lie idle in her bank account. She is required to pay her suppliers and staff only after a few days.

The above could be real life situations. Is there any option available for these investors?

YES!  Mutual Funds!

Mutual Funds offer different kinds of schemes for different kinds of investment objectives. For e.g.

-   Long term goals like building a corpus for retirement – You could consider equity and balanced funds

-   Looking to generate income with relatively low risk – You could consider a bond fund

-   Park your surplus money till you decide where to invest it next – You could consider a liquid fund

Mutual Funds offer different kinds of investment options for planning one’s investments, especially when one is clear about their goals.",paln everyday gole
Should goals be for the long term only or short term?,"Narendra aims to accumulate enough to make the down payment for his dream house. He started an SIP in some Mutual Fund schemes. Though he was falling a tad short, he was comfortable with what he had accrued.

He got a pleasant surprise when his company announced a big cash reward for some star employees, and he was one of them.

While the house purchase would take some time, he wasn’t sure how long. The payment may also be scheduled over a period.

What could he do with the money?

He could consider Liquid Mutual Funds as they are ideally suitable when money is required in a short period, and the time period is uncertain. It also gives the flexibility to take out even part of the money or whole of it whenever required.

So there are ample Mutual Fund schemes for both long term, and short term goals.",paln everyday gole
How can I track my investments on a regular basis?,"Investors often wonder how to go about tracking the progress of my investments.

It is like chasing a target in a cricket match. In a cricket match, the team batting second knows the equation – how many runs, how many wickets and how many overs.

It is very similar when it comes to investing for achievement of financial goal, too. Consider the financial goal as the target score-

The amount you have accumulated so far is the runs you have scored so far.
The amount yet to be accumulated is the runs to be scored and the time left is the overs left.
The condition of the wickets and the quality of the bowlers may be compared to various risks – be it related to the national or global economy; global capital flows; political situation in the country; changes in laws, regulations and taxes, etc.
The scoreboard in this case is the account statement you get when you invest in a Mutual Fund scheme.
There are also online tools, and mobile apps available to check the value of one’s investments – the scoreboard.",paln everyday gole
Are there different funds for different types of goals?,"With so many Mutual Funds schemes in the market, often one may wonder which scheme may be the best. But, understanding the meaning of “best” is more important.

Often, people tend to select the “best” performers of a recent past period – schemes that have delivered highest returns in the recent past.

If you watch a movie filmed in the USA in December, you would notice people wearing warm overalls. Someone may really like it and want to have those. However, can you imagine someone wearing woollen clothes around the streets in Mumbai or Chennai?

The same logic applies to Mutual Funds too. There is no such thing as the “best” Mutual Fund – it is always about what is appropriate in a given situation and is in line with your investment objective.

For long term goals there are different funds compared to short term needs. There are aggressive funds vastly different from moderate funds or even conservative funds. There are different funds for income generation as compared to wealth accumulation or for liquidity.

So don’t search for the best – search for the most appropriate.",paln everyday gole
Aren’t safe investments enough to meet financial goals?,"One must keep in mind that the regular expenses as well as the cost for various financial goals rise over a period. If the inflation is at 6% per year, the cost of a goal doubles over approximately 12 years. However, if the inflation is at 7%, the doubling happens roughly in ten years.

Now when inflation is at 7% and you seek total safety of the principal amount, you would be able to invest in avenues that offer returns very close to the inflation. Adjust for taxes on the investment returns and your post-tax investment returns are lower than inflation.

Let us look at some simple numbers:

If inflation is 7% per year, and you can buy something for Rs. 100 now, you would need Rs. 107 to buy the same thing next year. A year later, the same item would cost Rs. 114.49, if the inflation remains at the same level.

At the same time, if you had saved your money in a totally safe avenue that offered 6% per year after taxes, your Rs. 100 would grow to Rs. 106. This is Re. 1 less than the amount required above. After two years, the amount would have grown to Rs. 112.36, which is less than the cost of the item to be purchased. The table on the left highlights an approximate of values of investments, costs of goals and the gaps between them over a period of years.

So it’s important to not just save but invest.",paln everyday gole
